   "MANDT";"WERKS";"LGORT";"LIFNR";"PARCERIA";"EBELN"
   "400";"0844";"FA2J";"0010109211";"";"4600569049"
   "400";"0844";"FCDO";"0010016012";"";"4600589226"
   "400";"0844";"FGEM";"0010014003";"";"4600537878"
   "400";"0844";"FVAR";"0010222705";"";"4600559387"
   "400";"0844";"FVSB";"0010204983";"";"4600559387"
   "400";"0844";"FVX4";"0010197838";"";"4600559389"
   "400";"0844";"FVXC";"0010016012";"";"4600579627"
   "400";"0844";"FVXG";"0010016012";"";"4600627039"
   "400";"0844";"FVZ1";"0010188857";"";"4600568823"
   "400";"0844";"FVZ2";"0010222705";"";"4600559387"
   "400";"0844";"FVZ4";"0010158125";"";"4600583802"
   "400";"0844";"FVZM";"0010016012";"";"4600580836"
   "400";"0844";"FVZV";"0010215112";"";"4600559389"
   "400";"0844";"FVZW";"0010188857";"";"4600581921"
   "400";"0844";"FZV7";"0010026003";"";"4600611245"
   "400";"0844";"FZX1";"0010109211";"";"4600586130"
   "400";"0844";"FZXC";"0010214874";"";"4600580921"
   "400";"0848";"FV32";"0010092435";"";"4600357074"
   "400";"0858";"F196";"0010113488";"";"4600423401"
   "400";"0858";"FV48";"0010040638";"";"4600419395"
   "400";"0874";"F1GC";"0010066029";"";"4600231969"
   "400";"0874";"F1GD";"0030008481";"";"4600248699"
   "400";"0875";"F1GD";"0030008481";"";"4600241564"
   "400";"0875";"F1J2";"0010127105";"";"4600287245"
   "400";"0875";"F1JV";"0010130242";"P";"4600293253"
   "400";"0885";"F1IK";"0010123197";"";"4600279125"
   "400";"0886";"F1FH";"0010214455";"";"4600583764"
         "400";"1050";"F11S";"0010015893"
         "400";"1050";"F11T";"0010043516"
   "400";"1050";"F1EU";"0010092707";"";"4600219542"
   "400";"1050";"FIFO";"0010025961";"";"4600244782"
         "400";"1100";"F00B";"0010001976"
         "400";"1100";"F00D";"0010006781"
         "400";"1100";"F00F";"0010007778"
         "400";"1100";"F015";"0010025703"
         "400";"1100";"F016";"0010025798"
         "400";"1100";"F01C";"0010025961"
   "400";"1100";"F1EU";"0010092707";"";"4600642011"
   "400";"1115";"F1EU";"0010092707";"";"4600642011"
         "400";"1150";"F01R";"0010025961"
         "400";"1150";"F11U";"0010025711"
         "400";"1150";"F11V";"0010025798"
         "400";"1150";"F11W";"0010025830"
         "400";"1150";"F11X";"0010025835"
         "400";"1150";"F11Y";"0010029451"
         "400";"1150";"F11Z";"0010048023"
   "400";"1150";"F1EU";"0010092707";"";"4600642011"
   "400";"1160";"F3CH";"0010005033";"";"4600604636"
         "400";"1200";"F00C";"0010025703"
   "400";"1200";"F020";"0010001976";"";"4600004194"
         "400";"1200";"F03L";"0010025951"
   "400";"1200";"F0Q9";"0010025835";"";"4600004167"
   "400";"1200";"F1EU";"0010092707";"";"4600642011"
   "400";"1200";"F1EV";"0010025835";"";"4600177200"
   "400";"1200";"F1EX";"0010001976";"";"4600178152"
   "400";"1200";"FAGL";"0010218350";"";"4600619511"
   "400";"1200";"FVX9";"0010006587";"";"4600580112"
         "400";"1250";"F00H";"0010006781"
   "400";"1250";"F00K";"0010007476";"";"2502009987"
         "400";"1250";"F00M";"0010007962"
         "400";"1250";"F00P";"0010025703"
         "400";"1250";"F00Q";"0010025830"
         "400";"1250";"F00T";"0010028587"
         "400";"1250";"F040";"0010025961"
   "400";"1250";"F0QC";"0010007476";"";"4600005384"
         "400";"1250";"F120";"0010007397"
         "400";"1250";"F121";"0010007476"
         "400";"1250";"F122";"0010007778"
         "400";"1250";"F123";"0010025797"
         "400";"1250";"F124";"0010025798"
         "400";"1250";"F125";"0010035259"
         "400";"1250";"F126";"0010043027"
         "400";"1250";"F127";"0010045054"
         "400";"1250";"F128";"0010056538"
   "400";"1250";"F1EU";"0010092707";"";"4600219542"
   "400";"1300";"F00U";"0010025848";"";"7102055995"
         "400";"1300";"F00V";"0010025848"
   "400";"1300";"F04N";"0010000987";"";"2755128001"
         "400";"1300";"F04P";"0010000987"
         "400";"1300";"F04R";"0010001976"
   "400";"1300";"F1EU";"0010092707";"";"4600642011"
   "400";"1350";"F1EU";"0010092707";"";"4600219542"
         "400";"1400";"F04S";"0010012909"
         "400";"1400";"F129";"0010001976"
         "400";"1400";"F12A";"0010006576"
         "400";"1400";"F12B";"0010006781"
         "400";"1400";"F12C";"0010008489"
         "400";"1400";"F12D";"0010025552"
         "400";"1400";"F12E";"0010025703"
         "400";"1400";"F12F";"0010025751"
         "400";"1400";"F12G";"0010025809"
         "400";"1400";"F12H";"0010025835"
         "400";"1400";"F12J";"0010025961"
         "400";"1400";"F12K";"0010030498"
         "400";"1400";"F12L";"0010059269"
   "400";"1400";"F1EU";"0010092707";"";"4600219542"
   "400";"1400";"F1LZ";"0010136801";"";"4600310513"
         "400";"1450";"F12M";"0010012482"
         "400";"1450";"F12N";"0010025754"
         "400";"1450";"F12P";"0010025798"
         "400";"1450";"F12Q";"0010025850"
         "400";"1450";"F12R";"0010027167"
   "400";"1450";"F1EU";"0010092707";"";"4600219542"
